spó³ka;18 list;22 list;25 list;28 list;30 list
Tonsil;55000 z³;55000 z³;62000 z³;63000 z³;65000 z³
Próchnik;41000 z³;39000 z³;38000 z³;37000 z³;36000 z³
Krosno;13500 z³;13700 z³;13900 z³;14000 z³;13800 z³
BSK;12100 z³;12300 z³;12000 z³;12300 z³;12300 z³
BPH;210000 z³;199000 z³;192000 z³;189000 z³;188300 z³
¯ywiec;67314 z³;69000 z³;72000 z³;68450 z³;70001 z³
KGHM;21000 z³;19500 z³;19200 z³;20800 z³;21250 z³
Dêbica;64300 z³;67000 z³;73000 z³;76000 z³;70000 z³
Polifarb;21400 z³;22000 z³;22200 z³;23000 z³;22200 z³
Kable;55800 z³;55900 z³;55700 z³;55900 z³;56000 z³
Wedel;25000 z³;27000 z³;30000 z³;30000 z³;36000 z³
